,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION
1014,WESTIN KIERLAND RESORT,AZ,WestinHotels
1015,WESTIN KIERLAND RESORT,AZ,WestinHotels
1016,WESTIN KIERLAND RESORT,AZ,WestinHotels
1017,STAPLES DIRECT00209908,CA,"Stationery,OfficeSupplies,Printing/WritingPaper"
1018,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
1019,NATL GRANTS MANAGEMENT,VA,"EducationalServices,NotElsewhereClassified"
1020,NATL GRANTS MANAGEMENT,VA,"EducationalServices,NotElsewhereClassified"
1021,CONSTANT CONTACT,MA,ComputerSoftwareStores
1022,HYDRAULICS UNLIMITED I,MD,RepairShopsandRelatedServices-Miscellaneous
1023,1800GOFEDEX   10010007,TN,"FreightCarriers,Trucking-Local/LongDistance"
1024,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
1025,BLUE BOY PRINTING CORP,DC,MiscellaneousPublishingAndPrinting
1026,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
1027,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
1028,RANGER SURPLUS 5,MD,SportingGoodsStores
1029,VIRTUAL MAGIC INC,GA,ComputerSoftwareStores
1030,VIRTUAL MAGIC INC,GA,ComputerSoftwareStores
1031,GRUBBS CARE PHARMACY M,DC,"DrugStores,Pharmacies"
1032,THE WASHINGTON TIMES -,DC,NewsDealers&Newsstands
1033,HOWARD UNIVERSITY DIST,DC,"Books,PeriodicalsAndNewspapers"
1034,HUMAN RESOURCE ASSOCIA,VA,"MembershipOrganizations,NotElsewhereClassified"
1035,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
1036,SCANTRON CORPORATION,CA,BusinessServicesNotElsewhereClassified
1037,FAITH MGMT CONSULTING,DC,"Stationery,Office&SchoolSupplyStores"
1038,AMERICAN LIBRARY ASSOC,IL,"EducationalServices,NotElsewhereClassified"
1039,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1040,CIRCUIT CITY SS #0824,MD,ElectronicSales
1041,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
1042,LASER ART INC,DC,"Stationery,Office&SchoolSupplyStores"
1043,LOCKED OUT LOST KEYS,MD,BusinessServicesNotElsewhereClassified
1044,TARGET        00022590,DC,DiscountStores
1045,POLICE EXECUTIVE RESEA,DC,"MembershipOrganizations,NotElsewhereClassified"
1046,PENSKE TRK LSG 086010,VA,Truck&UtilityTrailerRentals
1047,PENSKE TRK LSG 086010,VA,Truck&UtilityTrailerRentals
1048,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
1049,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
1050,NAGC,VA,"Civic,Social&FraternalAssociations"
1051,MARRIOTT 337W1 ALPHARE,GA,MarriottHotels
1052,MARRIOTT 337W1 ALPHARE,GA,MarriottHotels
1053,MARRIOTT 337W1 ALPHARE,GA,MarriottHotels
1054,UNITED RENTALS,MD,"Rentals-Tools,EquipmentandFurniture"
1055,UNITED RENTALS,MD,"Rentals-Tools,EquipmentandFurniture"
1056,IN SITU INC,CO,DirectMarketing-NotElsewhereClassified
1057,SOUTHWES  5268519879338,TX,Southwest
1058,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
1059,ESI INTERNATIONAL,FL,"EducationalServices,NotElsewhereClassified"
1060,GOVE GROUP INC,PA,BusinessServicesNotElsewhereClassified
1061,GOVE GROUP INC,PA,BusinessServicesNotElsewhereClassified
1062,GOVE GROUP INC,PA,BusinessServicesNotElsewhereClassified
1063,NATIONAL FORUM FOR BLA,DC,SpecialtyRetailStores-Miscellaneous
1064,MIDWEST E 45326002306712,OK,EmpireAir
1065,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
1066,THE W.I.N.N GROUP INC,DC,"ComputerMaint&RepairService,NotElsewhereClass."
1067,HAINES / CRISS CROSS,OH,DirectMarketing-NotElsewhereClassified
1068,GOLDEN ENGINEERING,IN,"Lab,Medical,Dental,Opthalmic,HospEquip&Supplies"
1069,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1070,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
1071,"BALDWIN GRAPHICS, INC.",DC,"Quick-Copy,ReproductionandBlueprintingServices"
1072,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
1073,RADIOSHACK COR00120709,DC,ElectronicSales
1074,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1075,HUBERT COMPANY,OH,"CommercialEquipment,NotElsewhereClassified"
1076,WW GRAINGER 231,MI,"IndustrialSupplies,NotElsewhereClassified"
1077,CARLS ZEISS INC,NY,"Lab,Medical,Dental,Opthalmic,HospEquip&Supplies"
1078,"TRI-WIN OUTSOURCING,",TX,DirectMarketing-NotElsewhereClassified
1079,"MOTOROLA, INC. - ONLIN",IL,TelecommunicationsEquipmentIncl.TelephoneSales
1080,NATL FIRE PROTECTION,MA,BookStores
1081,PETROGEN INC.,CO,BusinessServicesNotElsewhereClassified
1082,AIRTRANAI 33200607694920,GA,MesabaAviation
1083,AIRTRANAI 33200607686280,GA,MesabaAviation
1084,RENAISSANCE HOTELS 967,GA,StoufferHotels
1085,RENAISSANCE HOTELS 967,GA,StoufferHotels
1086,RENAISSANCE HOTELS 967,GA,StoufferHotels
1087,AWL*PRENTICE HALL,NJ,DirectMarketing-NotElsewhereClassified
1088,AMW*1346885907    0123,MI,BusinessServicesNotElsewhereClassified
1089,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
1090,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
1091,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
1092,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
1093,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1094,AMAZON.COM,WA,BookStores
1095,AMAZON.COM,WA,BookStores
1096,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1097,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
1098,NATIONAL FORUM FOR BLA,DC,SpecialtyRetailStores-Miscellaneous
1099,USDA GRADUATE SCHOOL R,DC,"EducationalServices,NotElsewhereClassified"
1100,USDA GRADUATE SCHOOL R,DC,"EducationalServices,NotElsewhereClassified"
1101,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1102,ROSEHALL RESORTS,JAM,Hotels-Lodging(NotListedElsewhere)
1103,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
1104,CHEERIO PRINTING CO IN,MD,"Quick-Copy,ReproductionandBlueprintingServices"
1105,WW GRAINGER 896,MD,"IndustrialSupplies,NotElsewhereClassified"
1106,HUBERT COMPANY,OH,"CommercialEquipment,NotElsewhereClassified"
1107,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
1108,CLARY BUS MACHINES,CA,"Stationery,OfficeSupplies,Printing/WritingPaper"
1109,1ST RUN COMPUTER SERVI,NY,BusinessServicesNotElsewhereClassified
1110,NATIONAL FORUM FOR BLA,DC,SpecialtyRetailStores-Miscellaneous
1111,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1112,LASER ART INC,DC,"Stationery,Office&SchoolSupplyStores"
1113,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
1114,REINGOLDS PROMOTIONS,DC,GeneralMerchandise
1115,LASER ART INC,DC,"Stationery,Office&SchoolSupplyStores"
1116,"TOUCAN BUSINESS FORMS,",MD,"IndustrialSupplies,NotElsewhereClassified"
1117,PREMIER OFFICE & MEDIC,DC,"Stationery,Office&SchoolSupplyStores"
1118,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
1119,INTL SOC ARBORICULTURE,IL,"EducationalServices,NotElsewhereClassified"
1120,INTL SOC ARBORICULTURE,IL,"EducationalServices,NotElsewhereClassified"
1121,HELP DESK INSTITUTE,CO,BusinessServicesNotElsewhereClassified
1122,TECKNOMIC LLC,NY,ProfessionalServicesNotElsewhereDefined
1123,MOORE MEDICAL LLC HOUS,CT,"MedicalServices,NotElsewhereClassified"
1124,NEW HERMES INCORPORATE,GA,"CommercialEquipment,NotElsewhereClassified"
1125,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1126,REITER'S SCIENTIFIC &,DC,"Books,PeriodicalsAndNewspapers"
1127,REITER'S SCIENTIFIC &,DC,"Books,PeriodicalsAndNewspapers"
1128,HIRERIGHT,CA,BusinessServicesNotElsewhereClassified
1129,KNOLL INC,PA,OfficeandCommercialFurniture
1130,DAYS INNS,NC,DaysInnHotels
1131,ROSEHALL RESORTS,JAM,Hotels-Lodging(NotListedElsewhere)
1132,THE APPRAISAL FOUNDATI,DC,"EducationalServices,NotElsewhereClassified"
1133,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
1134,THE HOME DEPOT 2555,MD,HomeSupplyWarehouseStores
1135,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
1136,BEST BUY      00010926,DC,ElectronicSales
1137,AIRTRANAI 33200604113260,GA,MesabaAviation
1138,AIRTRANAI 33200604177180,GA,MesabaAviation
1139,ABC TECHNICAL SOLUTION,DC,"ComputerMaint&RepairService,NotElsewhereClass."
1140,CENTRAL ARMATURE W,DC,MetalServiceCentersAndOffices
1141,CENTRAL ARMATURE W,DC,MetalServiceCentersAndOffices
1142,XPRESSMYSELF,NY,MiscellaneousPublishingAndPrinting
1143,DRI*QUARK,MN,ComputerSoftwareStores
1144,FEDEX KINKO'S #1822,DC,"Quick-Copy,ReproductionandBlueprintingServices"
1145,PANERA BREAD #781  Q53,VA,FastFoodRestaurants
1146,FEDEX KINKO'S #0227,MD,"Quick-Copy,ReproductionandBlueprintingServices"
1147,MASIMO,CA,GeneralMerchandise
1148,ROBERT'S OXYGEN COMPAN,MD,"Lab,Medical,Dental,Opthalmic,HospEquip&Supplies"
1149,GIANT FOOD INC #375,DC,"GroceryStores,Supermarkets"
1150,GIANT FOOD INC #375,DC,"GroceryStores,Supermarkets"
1151,LAWSON PRODUCTS,IL,HardwareEquipmentAndSupplies
1152,HILLMEADE EMBROIDERY,MD,"Sewing,Needlework,Fabric&PieceGoodsStores"
1153,HILLMEADE EMBROIDERY,MD,"Sewing,Needlework,Fabric&PieceGoodsStores"
1154,CONSTANT CONTACT,MA,ComputerSoftwareStores
1155,BALTIMORE CANVAS,MD,Tent&AwningShops
1156,GAL*GALLS INC,KY,DirectMarketing-CatalogMerchants
1157,APCO INTERNATIONAL,FL,"EducationalServices,NotElsewhereClassified"
1158,GDC*GD-C4S,MA,"Computers,ComputerPeripheralEquipment,Software"
1159,HAGEMEYER SITE FTP,PA,ElectricalPartsAndEquipment
1160,APLUSEVENTS,CA,BusinessServicesNotElsewhereClassified
1161,HUBERT COMPANY,OH,"CommercialEquipment,NotElsewhereClassified"
1162,MA STOCKSTILL CO,MD,RepairShopsandRelatedServices-Miscellaneous
1163,CENTRAL ARMATURE W,DC,MetalServiceCentersAndOffices
1164,PEAPOD *GROCERIES,IL,GeneralMerchandise
1165,GUARDIAN FIRE PROTECTI,MD,ElectricalContractors
1166,FERGUSON ENTERPRISES #,MD,PlumbingAndHeatingEquipmentAndSupplies
1167,AIRGAS EAST,NH,"ChemicalsandAlliedProducts,NotElsewhereClass."
1168,VA DEPT OF FIRE PROGRA,VA,"College,Universities,ProfessionalSchools"
1169,DEPT OF FIRE PROGRAMS,VA,"GovernmentServices,NotElsewhereClassified"
1170,DEPT OF FIRE PROGRAMS,VA,"GovernmentServices,NotElsewhereClassified"
1171,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
1172,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
1173,ISO SERVICES INC ONLIN,NJ,BusinessServicesNotElsewhereClassified
1174,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
1175,PUBLIC RELATIONS SOCIE,NY,DirectMarketing-NotElsewhereClassified
1176,SULLIVAN S SCENTS AND,OH,SpecialtyRetailStores-Miscellaneous
1177,KATOM RESTAURANT SUPPL,TN,"CommercialEquipment,NotElsewhereClassified"
1178,HUBERT COMPANY,OH,"CommercialEquipment,NotElsewhereClassified"
1179,BEST KITCHEN SUPPLY,DC,"CommercialEquipment,NotElsewhereClassified"
1180,STAPLES DIRECT00209908,CA,"Stationery,OfficeSupplies,Printing/WritingPaper"
1181,HUMAN RESOURCE ASSOCIA,VA,"MembershipOrganizations,NotElsewhereClassified"
1182,PEOPLES SUPPLY CO.,MD,HardwareStores
1183,BLAYDES LOCK CO INC,DC,BusinessServicesNotElsewhereClassified
1184,SAFEWARE INC,MD,SpecialtyRetailStores-Miscellaneous
1185,THE HOME DEPOT 2571,MD,HomeSupplyWarehouseStores
1186,CENTRAL TRUCK CENTER,MD,Automobile&TruckDealer-New&Used
1187,CENTRAL TRUCK CENTER,MD,Automobile&TruckDealer-New&Used
1188,CENTRAL TRUCK CENTER,MD,Automobile&TruckDealer-New&Used
1189,CENTRAL TRUCK CENTER,MD,Automobile&TruckDealer-New&Used
1190,1800GOFEDEX   10010007,TN,"FreightCarriers,Trucking-Local/LongDistance"
1191,LASER ART INC,DC,"Stationery,Office&SchoolSupplyStores"
1192,CLUB QUARTERS-ADAMS,IL,Hotels-Lodging(NotListedElsewhere)
1193,MATTOS PRO FINISHES 5,MD,AutomotiveServiceShops
1194,GARY YOUNG,MD,HardwareStores
1195,AMMKA INT. INC,DC,"GenlContractors-Residential,andCommercial"
1196,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
1197,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
1198,CBS*CANONBUS SOLUTIONS,NJ,ElectricalandSmallApplianceRepairShops
1199,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1200,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1201,USAIRWAY  03775280020190,TN,U.S.Air
1202,CTX AP270301VF9RVM09,IL,TravelAgenciesandTourOperators
1203,CTX AP270301XKW2ZE09,IL,TravelAgenciesandTourOperators
1204,GELBERG SIGNS,DC,"DurableGoods,NotElsewhereClassified"
1205,DPC EMERGENCY EQUIPMEN,DE,MotorVehicleSuppliesAndNewParts
1206,STAPLES DIRECT00209908,CA,"Stationery,OfficeSupplies,Printing/WritingPaper"
1207,0776 EXTRA SPACE STORA,DC,"Warehousing,Public"
1208,SIGN TECH LLC,MD,"CommercialPhotography,Art&Graphics"
1209,WKI*CCH INC PAYLINKS,IL,DirectMarketing-NotElsewhereClassified
1210,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
1211,TRAVELOCITY.COM,TX,TravelAgenciesandTourOperators
1212,DELTA     00673990002556,TX,Delta
1213,VWR INTERNATIONAL INC,PA,"Lab,Medical,Dental,Opthalmic,HospEquip&Supplies"
1214,VWR INTERNATIONAL INC,PA,"Lab,Medical,Dental,Opthalmic,HospEquip&Supplies"
1215,RADIOSHACK COR00124107,DC,ElectronicSales
1216,WAREHEIM AIR BRAKES,MD,"AutomotiveParts,AccessoriesStores"
1217,DPC EMERGENCY EQUIPMEN,DE,MotorVehicleSuppliesAndNewParts
1218,NEW JERSEY E-ZPASS,NJ,"Tolls,RoadAndBridgeFees"
1219,JIMMIE MUSCATELLOS,DC,UniformsandCommercialClothing
1220,WW GRAINGER 897,VA,"IndustrialSupplies,NotElsewhereClassified"
1221,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
1222,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
1223,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
1224,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
1225,THUNDERPOWER MEGAPHONE,CA,ElectronicSales
1226,"THOMAS SHADE, INC.",MD,HomeFurnishingsandEquipmentExceptAppliances
1227,NATIONAL NEWS,DC,NewsDealers&Newsstands
1228,MANAGEMENT CONCEPTS IN,VA,BusinessServicesNotElsewhereClassified
1229,GALLAUDET UNIV COLLG H,DC,"College,Universities,ProfessionalSchools"
1230,SAFEWAY STORE 00027375,DC,"GroceryStores,Supermarkets"
1231,SHRM STORE ONLINE,VA,BookStores
1232,LAWSON PRODUCTS,IL,HardwareEquipmentAndSupplies
1233,LAWSON PRODUCTS,IL,HardwareEquipmentAndSupplies
1234,LAWSON PRODUCTS,IL,HardwareEquipmentAndSupplies
1235,LAWSON PRODUCTS,IL,HardwareEquipmentAndSupplies
1236,DOCUMENT MANAGERS,DC,"Office,Photographic,Photocopy,andMicrofilmEquip"
1237,NACCHO,DC,"Civic,Social&FraternalAssociations"
1238,QUEENSTOWN MOTOR-SERVI,MD,Automobile&TruckDealer-New&Used
1239,QUEENSTOWN MOTOR-SERVI,MD,Automobile&TruckDealer-New&Used
1240,SHEEHY FORD MARLOW HEI,MD,Automobile&TruckDealer-New&Used
1241,TESSCO INCORPORATED,MD,TelecommunicationsEquipmentIncl.TelephoneSales
1242,WIRELESS COMMUNICATION,MD,TelecommunicationsEquipmentIncl.TelephoneSales
1243,WIRELESS COMMUNICATION,DC,ElectronicsRepairShops
1244,DMI* DELL K-12/GOVT,TX,"Computers,ComputerPeripheralEquipment,Software"
1245,APLUSEVENTS,CA,BusinessServicesNotElsewhereClassified
1246,ALL METAL FABRICATORS,VA,"ConstructionMaterials,NotElsewhereClassified"
1247,FRAGERS HARDWARE,DC,HardwareStores
1248,BLUE BOY PRINTING CORP,DC,MiscellaneousPublishingAndPrinting
1249,INTERIOR CONCEPTS,MI,OfficeandCommercialFurniture
1250,AMERICAN AMPLIFIER,MD,ElectronicSales
1251,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1252,TABLEAU SOFTWARE,WA,ComputerSoftwareStores
1253,US GREEN BUILD COUNCIL,DC,"Civic,Social&FraternalAssociations"
1254,JIMMIE MUSCATELLOS,DC,UniformsandCommercialClothing
1255,SAFEWAY STORE 00027375,DC,"GroceryStores,Supermarkets"
1256,ENTERPRISE RENT-A-CAR,VA,EnterpriseRent-A-Car
1257,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1258,WASH METRO    00074344,DC,Local/SuburbanCommuterTransportation
1259,WASH METRO    00074344,DC,Local/SuburbanCommuterTransportation
1260,AMERICAN COMBUSTION IN,MD,PlumbingAndHeatingEquipmentAndSupplies
1261,LEARNING TREE INTERNAT,VA,"EducationalServices,NotElsewhereClassified"
1262,LEARNING TREE INTERNAT,VA,"EducationalServices,NotElsewhereClassified"
1263,FRED PRYOR SEMINARS,KS,"EducationalServices,NotElsewhereClassified"
1264,METRO CNTR TKT OFFICE,DC,Local/SuburbanCommuterTransportation
1265,WASH METRO    00052381,DC,Local/SuburbanCommuterTransportation
1266,WASH METRO    00052381,DC,Local/SuburbanCommuterTransportation
1267,CDW GOVERNMENT,CA,DirectMarketing-CatalogMerchants
1268,TONER EXPRESS USA INC,MD,GeneralMerchandise
1269,SURVEYMONKEY COM,OR,BusinessServicesNotElsewhereClassified
1270,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
1271,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
1272,DS WATERS,GA,SpecialtyRetailStores-Miscellaneous
1273,USAIRWAY  03723357862895,AZ,U.S.Air
1274,USAIRWAY  03723357863540,AZ,U.S.Air
1275,USAIRWAY  03723357820195,PA,U.S.Air
1276,OMNI HOTELS NEW HAVEN,CT,OmniHotels
1277,TRULAND SERVICE CORP,VA,ElectricalContractors
1278,ROYALCUP,AL,"Non-DurableGoods,NotElsewhereClassified"
1279,SIGN LANGUAGE ASSOCIAT,MD,BusinessServicesNotElsewhereClassified
1280,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1281,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1282,SIGNS BY TOMORROW,MD,AdvertisingServices
1283,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1284,PARTY PALACE RENTALS,MD,"Rentals-Tools,EquipmentandFurniture"
1285,VERIZON WRLS 28958-01,DC,TelecommunicationsEquipmentIncl.TelephoneSales
1286,BLUE BOY PRINTING CORP,DC,MiscellaneousPublishingAndPrinting
1287,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1288,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
1289,DAYCON LANHAM,MD,"IndustrialSupplies,NotElsewhereClassified"
1290,AIRGAS EAST,NH,"ChemicalsandAlliedProducts,NotElsewhereClass."
1291,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
1292,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
1293,EMERGENCY MEDICAL PROD,WI,"Lab,Medical,Dental,Opthalmic,HospEquip&Supplies"
1294,OMNI ELEVATOR,MD,DirectMarketing-NotElsewhereClassified
1295,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1296,APAI 610-8724645,PA,"MembershipOrganizations,NotElsewhereClassified"
1297,"AMBRY, INC",TX,"Computers,ComputerPeripheralEquipment,Software"
1298,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1299,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
1300,AMTRAK .CO0161129387346,DC,PassengerRailways
1301,STAPLES DIRECT00209908,CA,"Stationery,OfficeSupplies,Printing/WritingPaper"
1302,STAPLES DIRECT00209908,CA,"Stationery,OfficeSupplies,Printing/WritingPaper"
1303,STAPLES DIRECT00209908,CA,"Stationery,OfficeSupplies,Printing/WritingPaper"
1304,INTERSTATE LOCKSMITH I,NJ,BusinessServicesNotElsewhereClassified
1305,INTERSTATE BATTERY SYS,MD,SpecialtyRetailStores-Miscellaneous
1306,MARYLAND FIRE EQUIPMEN,MD,"IndustrialSupplies,NotElsewhereClassified"
1307,"GOVDOCS.COM, INC.",MN,ElectronicCommerce/InformationServices
1308,PREMIER OFFICE & MEDIC,DC,"Stationery,Office&SchoolSupplyStores"
1309,OFFICE DEPOT #252,MD,"Stationery,Office&SchoolSupplyStores"
1310,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
1311,ASCENDER CORPORATION,IL,ComputerSoftwareStores
1312,MAIN LINE COMM POOLS I,PA,"SwimmingPools-Sales,Service&Supplies"
1313,ALLMED,MO,"Lab,Medical,Dental,Opthalmic,HospEquip&Supplies"
1314,DTV*DIRECTV SERVICE,CA,CableandOtherPayTelevision
1315,EQUIPMENT & SUPPLY SAL,DC,"ApplianceStores,NotElsewhereClassified"
1316,HUBERT COMPANY,OH,"CommercialEquipment,NotElsewhereClassified"
1317,ORIENTAL TRADING CO,NE,DirectMarketing-CatalogMerchants
1318,IT S ALL DIRECT 2U,TN,SpecialtyRetailStores-Miscellaneous
1319,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
1320,STAR OFFICE PRODUCTS,DC,"Stationery,Office&SchoolSupplyStores"
1321,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
1322,LEARNING TREE INTERNAT,VA,"EducationalServices,NotElsewhereClassified"
1323,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
1324,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
1325,NETWORKING FOR FUTURE,DC,ProfessionalServicesNotElsewhereDefined
1326,NETWORKING FOR FUTURE,DC,ProfessionalServicesNotElsewhereDefined
1327,OBSESSION MOTORSPORTS,MD,"AutomotiveParts,AccessoriesStores"
1328,UPS*1Z8T12680390001810,GA,"FreightCarriers,Trucking-Local/LongDistance"
1329,UPS*1Z8T12680390220824,GA,"FreightCarriers,Trucking-Local/LongDistance"
1330,UPS*1Z8T12680391721031,GA,"FreightCarriers,Trucking-Local/LongDistance"
1331,UPS*1Z8T12680393246444,GA,"FreightCarriers,Trucking-Local/LongDistance"
1332,STAPLES       00115329,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
1333,FRAGERS HARDWARE,DC,HardwareStores
1334,SMARTSOURCE,VA,"Rentals-Tools,EquipmentandFurniture"
1335,ROBERT'S OXYGEN COMPAN,MD,"Lab,Medical,Dental,Opthalmic,HospEquip&Supplies"
1336,HENRY SCHEIN,NY,"Lab,Medical,Dental,Opthalmic,HospEquip&Supplies"
1337,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
1338,NEW CONCEPT PRODUCTS,VA,BusinessServicesNotElsewhereClassified
1339,RADIOSHACK COR00124958,DC,ElectronicSales
1340,"MOTOROLA, INC. - ONLIN",IL,TelecommunicationsEquipmentIncl.TelephoneSales
1341,STAPLES       00115618,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
1342,ADC MAP & TRAVEL CTR,DC,SpecialtyRetailStores-Miscellaneous
1343,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
1344,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
1345,US MOBILE 1,DC,TelecommunicationsEquipmentIncl.TelephoneSales
1346,US BUS CHARTER & LIMO,NJ,"TransportationServices,NotElsewhereClassified"
1347,BEST BUY      00010926,DC,ElectronicSales
1348,PEAVEY CORPORATION,KS,DirectMarketing-NotElsewhereClassified
1349,RADIOSHACK COR00124958,DC,ElectronicSales
1350,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
1351,AMZ*AMAZON PAYMENTS,WA,BookStores
1352,AMAZON.COM,WA,BookStores
1353,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
1354,TRAVELOCITY.COM,TX,TravelAgenciesandTourOperators
1355,DELTA     00673989564404,TX,Delta
1356,FEDEX KINKO'S #0227,MD,"Quick-Copy,ReproductionandBlueprintingServices"
1357,FEDEX,TN,"CourierServices-AirOrGround,FreightForwarders"
1358,CENTRAL RESTAURANT,IN,"CommercialEquipment,NotElsewhereClassified"
1359,HUBERT COMPANY,OH,"CommercialEquipment,NotElsewhereClassified"
1360,INTL SOC ARBORICULTURE,IL,"EducationalServices,NotElsewhereClassified"
1361,INTL SOC ARBORICULTURE,IL,"EducationalServices,NotElsewhereClassified"
1362,AT&T W127 6601,DC,TelecommunicationsEquipmentIncl.TelephoneSales
1363,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
1364,XEROX SUPPLY TEXAS,TX,"Office,Photographic,Photocopy,andMicrofilmEquip"
1365,APCO INTERNATIONAL,FL,"EducationalServices,NotElsewhereClassified"
1366,APCO INTERNATIONAL,FL,"EducationalServices,NotElsewhereClassified"
1367,APCO INTERNATIONAL,FL,"EducationalServices,NotElsewhereClassified"
1368,APCO INTERNATIONAL,FL,"EducationalServices,NotElsewhereClassified"
1369,FEDEX KINKO'S #0671,DC,"Quick-Copy,ReproductionandBlueprintingServices"
1370,FEDEX KINKO'S #1245,DC,"Quick-Copy,ReproductionandBlueprintingServices"
1371,KASTLE SYSTEMS,VA,"PersonalServices,NotElsewhereClassified"
1372,APLUSEVENTS,CA,BusinessServicesNotElsewhereClassified
1373,APLUSEVENTS,CA,BusinessServicesNotElsewhereClassified
